id	filename	cellType	cellTypeSubtype	antibody	mappingGenome	dataSource	dataSourceGSM	description
GSM1004846_p300_Th17	GSM1004846_p300_Th17.bed	T-Cells	[PC] Th17 (Baft KO)	Ep300	mm10	GSE40918	GSM1004846	Batf -/- CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004847_p300_Th17	GSM1004847_p300_Th17.bed	T-Cells	[PC] Th17	Ep300	mm10	GSE40918	GSM1004847	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004848_p300_Th17	GSM1004848_p300_Th17.bed	T-Cells	[PC] Th17 (IRF4 KO)	Ep300	mm10	GSE40918	GSM1004848	IRF4 -/- CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004849_50_p300_Th17	GSM1004849_50_p300_Th17.bed	T-Cells	[PC] Th17	Ep300	mm10	GSE40918	GSM1004849-GSM1004850	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004851_p300_Th17	GSM1004851_p300_Th17.bed	T-Cells	[PC] Th17	Ep300	mm10	GSE40918	GSM1004851	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004852_p300_Th17	GSM1004852_p300_Th17.bed	T-Cells	[PC] Th17 (RORg KO)	Ep300	mm10	GSE40918	GSM1004852	RORg KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004855_56_Rorc_Th17	GSM1004855_56_Rorc_Th17.bed	T-Cells	[PC] Th17	Rorc	mm10	GSE40918	GSM1004855-GSM1004856	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004858_Stat3_Th17	GSM1004858_Stat3_Th17.bed	T-Cells	[PC] Th17	Stat3	mm10	GSE40918	GSM1004858	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 16 hrs.
GSM1004859_Stat3_Th17	GSM1004859_Stat3_Th17.bed	T-Cells	[PC] Th17	Stat3	mm10	GSE40918	GSM1004859	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 3 hrs.
GSM1004860_61_Stat3_Th17	GSM1004860_61_Stat3_Th17.bed	T-Cells	[PC] Th17	Stat3	mm10	GSE40918	GSM1004860-GSM1004861	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004863_65_Stat3_Th17	GSM1004863_65_Stat3_Th17.bed	T-Cells	[PC] Th17	Stat3	mm10	GSE40918	GSM1004863-GSM1004865	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004864_66_Stat3_Th17	GSM1004864_66_Stat3_Th17.bed	T-Cells	[PC] Th17 (RORg KO)	Stat3	mm10	GSE40918	GSM1004864-GSM1004866	RORg KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1014542_Ezh2	GSM1014542_Ezh2.bed	Embryonic Stem Cell	[PCL] E14 ES cells	Ezh2	mm10	GSE41314	GSM1014542	N/A
GSM1014546_Kdm2b	GSM1014546_Kdm2b.bed	Embryonic Stem Cell	[PCL] E14 ES cells	Kdm2b	mm10	GSE41314	GSM1014546	N/A
GSM1014548_Ring1b	GSM1014548_Ring1b.bed	Embryonic Stem Cell	[PCL] E14 ES cells	Ring1b	mm10	GSE41314	GSM1014548	N/A
GSM1014575_Stat5b	GSM1014575_Stat5b.bed	T-Cells	[PC] Th9	Stat5b	mm10	GSE41317	GSM1014575	NaÃ¯ve CD4+ T cells (spleen) were cultured under Th9 conditions (anti-IFNg; IL-4; TGF-beta; anti-CD3; and anti-CD28) for two rounds.
GSM1014576_Stat6	GSM1014576_Stat6.bed	T-Cells	[PC] Th9	Stat6	mm10	GSE41317	GSM1014576	NaÃ¯ve CD4+ T cells (spleen) were cultured under Th9 conditions (anti-IFNg; IL-4; TGF-beta; anti-CD3; and anti-CD28) for two rounds.
GSM1015512_Gata4	GSM1015512_Gata4.bed	Embryonic Stem Cell	[CL] J1 derived from 129 background	Gata4	mm10	GSE41361	GSM1015512	Parental cell line: J1 derived from 129 background. Genotype/variation: wild type. Cell type: sorted Flk1+ mesoderm progenitor cells (ES-derived). Differentiation day: 4.5. Clone name: J1G4.2. Chip antibody (mixed): GATA4. Chip antibody info: Santa Cruz; sc-1237; lot K1611. Chip antibody info: Santa Cruz; sc-25310; lot J0611. Chip antibody info: BD pharmingen; L97-56; lot 17576
GSM1015513_Gata4	GSM1015513_Gata4.bed	Embryonic Stem Cell	[PC]	Gata4	mm10	GSE41361	GSM1015513	Parental cell line: J1 derived from 129 background. Genotype/variation: Dnmt3a-/-Dnmt3b-/-(DKO). Cell type: sorted Flk1+ mesoderm progenitor cells (ES-derived). Differentiation day: 4.5. Clone name: 16G4.3. Chip antibody (mixed): GATA4. Chip antibody info: Santa Cruz; sc-1237; lot K1611. Chip antibody info: Santa Cruz; sc-25310; lot J0611. Chip antibody info: BD pharmingen; L97-56; lot 17576
GSM1019771_Suz12	GSM1019771_Suz12.bed	Embryonic Stem Cells	[PCL] E14 ES cells	Suz12	mm10	GSE41589	GSM1019771	N/A
GSM1020006_Smc3	GSM1020006_Smc3.bed	Fibroblast	[PC] Embryonic fibroblast	Smc3	mm10	GSE41603	GSM1020006	Wapl+/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1020007_Smc3	GSM1020007_Smc3.bed	Fibroblast	[PC] Embryonic fibroblast; Wapl deleted	Smc3	mm10	GSE41603	GSM1020007	Wapl -/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1020008_Smc3	GSM1020008_Smc3.bed	Fibroblast	[PC] Embryonic fibroblast	Smc3	mm10	GSE41603	GSM1020008	Wapl+/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1020009_Smc3	GSM1020009_Smc3.bed	Fibroblast	[PC] Embryonic fibroblast; Wapl deleted	Smc3	mm10	GSE41603	GSM1020009	Wapl -/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1020012_Ctcf	GSM1020012_Ctcf.bed	Fibroblast	[PC] Embryonic fibroblast	Ctcf	mm10	GSE41603	GSM1020012	Wapl+/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1020013_Ctcf	GSM1020013_Ctcf.bed	Fibroblast	[PC] Embryonic fibroblast	Ctcf	mm10	GSE41603	GSM1020013	Wapl -/fl MEFs; serum starved and 4-OHT added to delete floxed allele
GSM1027476_Cebpb	GSM1027476_Cebpb.bed	Osteoblast precursor	[CL] MC3T3-E1 cells	Cebpb	mm10	GSE41920	GSM1027476	Cells were cultured in alpha MEM with heat-inactivated fetal bovine serum and penicillin-streptomycin.
GSM1027478_Runx2	GSM1027478_Runx2.bed	Osteoblast precursor	[CL] MC3T3-E1 cells	Runx2	mm10	GSE41920	GSM1027478	Cells were cultured in alpha MEM with heat-inactivated fetal bovine serum and penicillin-streptomycin.
GSM1027494_Cebpb	GSM1027494_Cebpb.bed	Osteoblast	[CL] MC3T3-E1; glycerol-2-phosphate and ascorbic acid treated 	Cebpb	mm10	GSE41920	GSM1027494	Cells were differentiated in complete media plus glycerol-2-phosphate and ascorbic acid for 15 days.
GSM1031977_Sfpi1	GSM1031977_Sfpi1.bed	Myeloid progenitor cells	[CL] Tot2 (Irf8 KO)	Spi1	mm10	GSE38824	GSM1031977	Tot2 cells were retrovirally transduced with MSCV-IRF8. 3 days after the transduction; the cells were harvested.
GSM1038263_Med1	GSM1038263_Med1.bed	B-Cells	[CL] 38B9 Pro-B cells	Med1	mm10	GSE44288	GSM1038263	NULL
GSM1040573_4_Ikzf1	GSM1040573_4_Ikzf1.bed	B-Cells	[PC] Pre-B-Cells	Ikzf1	mm10	GSE38200	GSM1040573-GSM1040574	Primary pre-B cells were established from fetal liver cells plated on irradiated S17 stromal cells and grown in the presence of IL-7.
GSM1041372_Ring1B	GSM1041372_Ring1B.bed	Embryonic Stem Cell	[PCL] E14 ES cells	Ring1B	mm10	GSE42466	GSM1041372	N/A
GSM1041373_Cbx7	GSM1041373_Cbx7.bed	Embryonic Stem Cell	[PCL] E14 ES cells	Cbx7	mm10	GSE42466	GSM1041373	N/A
GSM1041374_Suz12	GSM1041374_Suz12.bed	Embryonic Stem cell	[PCL] E14 ES cells	Suz12	mm10	GSE42466	GSM1041374	N/A
GSM1050288_Sox2	GSM1050288_Sox2.bed	neural progenitor cells	[PC] ES cell derived neural progenitors	Sox2	mm10	GSE35496	GSM1050288	ES cells differentiated in vitro
GSM1050289_Sox2	GSM1050289_Sox2.bed	neural progenitor cells	[PC] ES cell derived neural progenitors	Sox2	mm10	GSE35496	GSM1050289	ES cells differentiated in vitro
GSM1050291_Sox2	GSM1050291_Sox2.bed	Embryonic stem cells	[PCL]	Sox2	mm10	GSE35496	GSM1050291	N/A
GSM1050295_Sox2	GSM1050295_Sox2.bed	Embryonic stem cells	[PC] ES cells differentiating to neural progenitors	Sox2	mm10	GSE35496	GSM1050295	ES cells differentiated in vitro for 2 days; Brn2 expression induced using Tet-ON system
GSM1050298_Sox2	GSM1050298_Sox2.bed	Embryonic stem cells	[PC] ES cells differentiating to neural progenitors	Sox2	mm10	GSE35496	GSM1050298	ES cells differentiated in vitro for 2 days; Brn2 expression induced using Tet-ON system
GSM1050301_Sox2	GSM1050301_Sox2.bed	Embryonic stem cells	[PC] ES cells differentiating to neural progenitors	Sox2	mm10	GSE35496	GSM1050301	ES cells differentiated in vitro for 2 days; Brn2 expression induced using Tet-ON system
GSM1050304_Sox2	GSM1050304_Sox2.bed	Embryonic stem cells	[PC] ES cells differentiating to neural progenitors	Sox2	mm10	GSE35496	GSM1050304	ES cells differentiated in vitro for 2 days
GSM1055553_Ldb1	GSM1055553_Ldb1.bed	Mesoderm	[CL] Flk1 + blast colony-forming cells (BL-CFCs)	Ldb1	mm10	GSE43044	GSM1055553	Flk1+ BL-CFCs isolated from day 4 embryoid bodies (grown without LIF)
GSM1058995_Kdm4b	GSM1058995_Kdm4b.bed	Embryonic Stem Cell	[PCL]	Kdm4b	mm10	GSE43231	GSM1058995	ES cells expressing Biotin-Kdm4b. Streptavidin antibody used.
GSM1058996_Kdm4c	GSM1058996_Kdm4c.bed	Embryonic Stem Cell	[PCL]	Kdm4c	mm10	GSE43231	GSM1058996	ES cells expressing Biotin-Kdm4c. Streptavidin antibody used.
GSM1059004_Ezh2	GSM1059004_Ezh2.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Ezh2	mm10	GSE43231	GSM1059004	ES cells expressing control shRNA targeting GFP
GSM1059011_Nanog	GSM1059011_Nanog.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Nanog	mm10	GSE43231	GSM1059011	ES cells expressing control shRNA targeting GFP
GSM1059012_Pou5f1	GSM1059012_Pou5f1.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Pou5f1	mm10	GSE43231	GSM1059012	ES cells expressing control shRNA targeting GFP
GSM1059013_Polr2a	GSM1059013_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Polr2a	mm10	GSE43231	GSM1059013	ES cells expressing control shRNA targeting GFP
GSM1059014_Polr2a	GSM1059014_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Polr2a	mm10	GSE43231	GSM1059014	ES cells expressing control shRNA targeting GFP
GSM1059015_Polr2a	GSM1059015_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Polr2a	mm10	GSE43231	GSM1059015	ES cells expressing control shRNA targeting GFP
GSM1059016_Spt5	GSM1059016_Spt5.bed	Embryonic Stem Cell	[PCL] ES cells; control knockdown	Supt5h	mm10	GSE43231	GSM1059016	ES cells expressing control shRNA targeting GFP
GSM1059024_Pou5f1	GSM1059024_Pou5f1.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4b knockdown	Pou5f1	mm10	GSE43231	GSM1059024	ES cells expressing shRNA targeting Kdm4b
GSM1059025_Ctr9	GSM1059025_Ctr9.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Ctr9	mm10	GSE43231	GSM1059025	ES cells expressing shRNA targeting Kdm4c
GSM1059031_Pou5f1	GSM1059031_Pou5f1.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Pou5f1	mm10	GSE43231	GSM1059033	ES cells expressing shRNA targeting Kdm4c
GSM1059032_Nanog	GSM1059032_Nanog.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Nanog	mm10	GSE43231	GSM1059032	ES cells expressing shRNA targeting Kdm4c
GSM1059034_Polr2a	GSM1059034_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Polr2a	mm10	GSE43231	GSM1059034	ES cells expressing shRNA targeting Kdm4c
GSM1059035_Polr2a	GSM1059035_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Polr2a	mm10	GSE43231	GSM1059035	ES cells expressing shRNA targeting Kdm4c
GSM1059036_Polr2a	GSM1059036_Polr2a.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Polr2a	mm10	GSE43231	GSM1059036	ES cells expressing shRNA targeting Kdm4c
GSM1059037_Spt5	GSM1059037_Spt5.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4c knockdown	Supt5h	mm10	GSE43231	GSM1059037	ES cells expressing shRNA targeting Kdm4c
GSM1065517_bCatenin	GSM1065517_bCatenin.bed	Embryonic Stem Cell	[PCL] V6.5 ES cells; CHIR99021 treated	Ctnnb1	mm10	GSE43565	GSM1065517	ES cell carrying knocked-in Biotin-3xFLAG tagged Ctnnb1 (Beta-Catenin) Cells treated for 16 hours with CHIR99021. Anti-FLAG antibody used.
GSM1065518_bCatenin	GSM1065518_bCatenin.bed	Embryonic Stem Cell	[PCL] V6.5 ES cells; CHIR99021 treated	Ctnnb1	mm10	GSE43565	GSM1065518	ES cell carrying knocked-in Biotin-3xFLAG tagged Ctnnb1 (Beta-Catenin) Cells treated for 16 hours with CHIR99021. Streptavidin antibody used.
GSM1082340_Pou5f1	GSM1082340_Pou5f1.bed	Embryonic stem cells	[CL] C57BL/6-129	Pou5f1	mm10	GSE44286	GSM1082340	V6.5 (C57BL/6-129) murine ES cells were grown under typical ES conditions on irradiated mouse embryonic fibroblasts (MEFs). For location analysis; cells were grown for two passages off of MEFs; on gelatinized tissue-culture plates.
GSM1082341_Sox2	GSM1082341_Sox2.bed	Embryonic stem cells	[CL] C57BL/6-129	Sox2	mm10	GSE44286	GSM1082341	V6.5 (C57BL/6-129) murine ES cells were grown under typical ES conditions on irradiated mouse embryonic fibroblasts (MEFs). For location analysis; cells were grown for two passages off of MEFs; on gelatinized tissue-culture plates.
GSM1082342_Nanog	GSM1082342_Nanog.bed	Embryonic stem cells	[CL] C57BL/6-129	Nanog	mm10	GSE44286	GSM1082342	V6.5 (C57BL/6-129) murine ES cells were grown under typical ES conditions on irradiated mouse embryonic fibroblasts (MEFs). For location analysis; cells were grown for two passages off of MEFs; on gelatinized tissue-culture plates.
GSM1082346_Cdk8	GSM1082346_Cdk8.bed	Embryonic stem cells	[CL] C57BL/6-129	Cdk8	mm10	GSE44286	GSM1082346	V6.5 (C57BL/6-129) murine ES cells were grown under typical ES conditions on irradiated mouse embryonic fibroblasts (MEFs). For location analysis; cells were grown for two passages off of MEFs; on gelatinized tissue-culture plates.
GSM1082347_Cdk9	GSM1082347_Cdk9.bed	Embryonic stem cells	[CL] C57BL/6-129	Cdk9	mm10	GSE44286	GSM1082347	V6.5 (C57BL/6-129) murine ES cells were grown under typical ES conditions on irradiated mouse embryonic fibroblasts (MEFs). For location analysis; cells were grown for two passages off of MEFs; on gelatinized tissue-culture plates.
GSM1088169_Ctcf	GSM1088169_Ctcf.bed	B-Cells	[PC] B cell enriched splenocytes	CTCF	mm10	GSE44637	GSM1088169	Chip antibody: CTCF. Chip antibody manufacturer: Millipore. Cell type: splenic B cells. Strain: C57BL/6. Cell surface markers: CD43-. Cell isolation: B cells were purified from the spleens of 6-week old mice using a magnetic bead based CD43- B cell Isolation Kit (Miltenyi).
GSM1088171_Ctcf	GSM1088171_Ctcf.bed	Plasmablasts	[PC] Splenic Plasmablasts	CTCF	mm10	GSE44637	GSM1088171	Chip antibody: CTCF. Chip antibody manufacturer: Millipore. Cell type: splenic Plasmablasts.Strain: C57BL/6. Cell surface markers: CD138+. Cell isolation: Plasmablasts were induced by injecting 6-week old mice with 50 ug LPS retro-orbitally. 3 days post-injection spleens were harvested and plasmablasts purified by flow cytometry based on surface expression of CD138.
GSM1090228_Tbx3	GSM1090228_Tbx3.bed	Embryonic stem cells	[PCL]	Tbx3	mm10	GSE44764	GSM1090228	N/A
GSM1090229_Tbx3	GSM1090229_Tbx3.bed	Embryoid bodies	[PC] ES cell derived EBs	Tbx3	mm10	GSE44764	GSM1090229	ES cells differentiated in vitro into embryoid bodies
GSM1090230_Nanog	GSM1090230_Nanog.bed	Embryonic stem cells	[PCL]	Nanog	mm10	GSE44764	GSM1090230	N/A
GSM1090231_Nanog	GSM1090231_Nanog.bed	Embryoid bodies	[PC] ES cell derived EBs	Nanog	mm10	GSE44764	GSM1090231	ES cells differentiated in vitro into embryoid bodies
GSM1103355_Runx1	GSM1103355_Runx1.bed	Megakaryocyte	[PC] Megakaryocytes	Runx1	mm10	GSE45372	GSM1103355	FL cells were derived from E14.5 embryos and cultured in DMEM supplemented with FBS and TPO; and in the presence of 10% CO2. After 7 days in culture; mature MKs were isolated by two sequential 2%-4% BSA gradients.
GSM1103356_Ep300	GSM1103356_Ep300.bed	Megakaryocyte	[PC] Megakaryocytes	Ep300	mm10	GSE45372	GSM1103356	FL cells were derived from E14.5 embryos and cultured in DMEM supplemented with FBS and TPO; and in the presence of 10% CO2. After 7 days in culture; mature MKs were isolated by two sequential 2%-4% BSA gradients.
GSM1131775_Foxo1	GSM1131775_Foxo1.bed	T-Cells	[PC] CD4+	Foxo1	mm10	GSE46525	GSM1131775	cell type: CD4+; genetic background: C57bl/6
GSM1132365_Erg	GSM1132365_Erg.bed	Leukaemia	[PC] AML (MEP type)	Erg	mm10	GSE46554	GSM1132365	Spleens from two mice overexpressing Erg (TgErg 70960) with AML.
GSM1132367_Erg	GSM1132367_Erg.bed	Leukaemia	[PC] AML (MEP type)	Erg	mm10	GSE46554	GSM1132367	Spleens from two mice overexpressing Erg (TgErg 655 Gata1s) with AML.
GSM1133644_Hnf1a	GSM1133644_Hnf1a.bed	T-Cells	[PC] Thymocyte	Hnf1a	mm10	GSE46662	GSM1133644	Thymocytes were collected from a thymus of a 4 wk old mouse.
GSM1142809_10_Cebpa	GSM1142809_10_Cebpa.bed	Hematopoietic Progenitor Cells	[PC] GMP (Cebpa flox/flox)	Cebpa	mm10	GSE47003	GSM1142809-GSM1142810	GMPs (Lin?Â Sca1?Â Kit+Â CD150?Â CD41?Â Fc?RII/III+)
GSM1150325_Ptf1a	GSM1150325_Ptf1a.bed	Pancreas Cells	[PC] Embyronic Pancreas	Ptf1a	mm10	GSE47459	GSM1150325-GSM1150326	Pancreas dissected from E17.5 embryo
GSM1150327_Rbpj	GSM1150327_Rbpj.bed	Neural Tube Cells	[PC] Embryonic Neural Tube	Rbpj	mm10	GSE47459	GSM1150327	Neural turbe dissected from E12.5 embryo
GSM1150328_Rbpj	GSM1150328_Rbpj.bed	Neural Tube Cells	[PC] Embryonic Neural Tube	Rbpj	mm10	GSE47459	GSM1150328	Neural turbe dissected from E12.5 embryo
GSM1150329_Rbpjl	GSM1150329_Rbpjl.bed	Pancreas Cells	[PC] Embyronic Pancreas	Rbpjl	mm10	GSE47459	GSM1150329-GSM1150330	Pancreas dissected from E17.5 embryo
GSM1150333_Foxa2	GSM1150333_Foxa2.bed	Pancreas Cells	[PC] Embyronic Pancreas	Foxa2	mm10	GSE47459	GSM1150333-GSM1150335	Pancreas dissected from E17.5 embryo
GSM1151145_Ctcf	GSM1151145_Ctcf.bed	Erythroid	[PC] Ter119+ Erythrocytes	Ctcf	mm10	GSE47492	GSM1151145	Mouse primary erythroid cells were sorted from the spleens of acetylphenylhydrazine-treated mice based on the expression of Ter119
GSM1151146_Gata1	GSM1151146_Gata1.bed	Erythroid	[PC] Ter119+ Erythrocytes	Gata1	mm10	GSE47492	GSM1151146	Mouse primary erythroid cells were sorted from the spleens of acetylphenylhydrazine-treated mice based on the expression of Ter119
GSM1151147_Nfe2	GSM1151147_Nfe2.bed	Erythroid	[PC] Ter119+ Erythrocytes	Nfe2	mm10	GSE47492	GSM1151147	Mouse primary erythroid cells were sorted from the spleens of acetylphenylhydrazine-treated mice based on the expression of Ter119
GSM1151623_Maf	GSM1151623_Maf.bed	T-Cells	[PC] CD4+	Maf	mm10	GSE47528	GSM1151623	Cell type: Activated CD4+ T cells skewed towards a Th17 subset. Strain: C57BL/6. Genotype: miR-155WT. Chip antibody: c-Maf (Santa Cruz; M-153). Chip antibody manufacturer: Santa Cruz. Chip antibody catalog #: M-153
GSM1165493_Klf1	GSM1165493_Klf1.bed	Erythroid	[PC] Erythroblast	Klf1	mm10	GSE48020	GSM1165493	Erythroblasts (Ter119+CD71+) were sorted from FL of E13.5 HA-Klf1 mice.
GSM1169006_Jarid2	GSM1169006_Jarid2.bed	Embryonic stem cell	[PCL]	Jarid2	mm10	GSE48122	GSM1169006	N/A
GSM1169007_Jarid2	GSM1169007_Jarid2.bed	Embryonic stem cell	[PCL] REST KO ES cells	Jarid2	mm10	GSE48122	GSM1169007	N/A
GSM1169010_Rest	GSM1169010_Rest.bed	Embryonic stem cell	[PCL]	Rest	mm10	GSE48122	GSM1169010	N/A
GSM1169014_Rnf2	GSM1169014_Rnf2.bed	Embryonic stem cell	[PCL]	Rnf2	mm10	GSE48122	GSM1169014	N/A
GSM1169017_Rnf2	GSM1169017_Rnf2.bed	Embryonic stem cell	[PCL] REST KO ES cells	Rnf2	mm10	GSE48122	GSM1169017	N/A
GSM1169018_Suz12	GSM1169018_Suz12.bed	Embryonic stem cell	[PCL]	Suz12	mm10	GSE48122	GSM1169018	N/A
GSM1169019_Suz12	GSM1169019_Suz12.bed	Embryonic stem cell	[PCL] REST KO ES cells	Suz12	mm10	GSE48122	GSM1169019	N/A
GSM1181851_Runx3	GSM1181851_Runx3.bed	T-Cells	[CL] Splenic CD4+ dendritic cells	Runx3	mm10	GSE48591	GSM1181851	Splenic CD4+ dendritic cells collected from approximately 15 mice. DC were freshly sorted; fixed and frozen -80C (Runx3poly clonal home made).
GSM1181852_Runx3	GSM1181852_Runx3.bed	T-Cells	[CL] Splenic CD4+ dendritic cells	Runx3	mm10	GSE48591	GSM1181852	Splenic CD4+ dendritic cells collected from approximately 15 mice. DC were freshly sorted; fixed and frozen -80C (Runx3poly clonal home made).
GSM1183968_Spi1	GSM1183968_Spi1.bed	Macrophages	[PC] Peritoneal Macrophage	Spi1	mm10	GSE48759	GSM1183968	Thioglycollate-elicited peritoneal macrophages - no treatment
GSM1183969_Spi1	GSM1183969_Spi1.bed	Macrophages	[PC] Peritoneal Macrophage; Kdo2 Lipid A treated	Spi1	mm10	GSE48759	GSM1183969	Thioglycollate-elicited peritoneal macrophages treated with Kdo2 Lipid A for 1hr
GSM1183972_Spi1	GSM1183972_Spi1.bed	Macrophages	[PC] Peritoneal Macrophage; Kdo2 Lipid A treated	Spi1	mm10	GSE48759	GSM1183972	Thioglycollate-elicited peritoneal macrophages treated with Kdo2 Lipid A for 24hrs
GSM1183977_Rela	GSM1183977_Rela.bed	Macrophages	[PC] Peritoneal Macrophage	Rela	mm10	GSE48759	GSM1183977	Thioglycollate-elicited peritoneal macrophages - no treatment - group-2
GSM1183978_Rela	GSM1183978_Rela.bed	Macrophages	[PC] Peritoneal Macrophage; Kdo2 Lipid A treated	Rela	mm10	GSE48759	GSM1183978	Thioglycollate-elicited peritoneal macrophages treated with Kdo2 Lipid A for 1hr - group-2
GSM1184045_Nanog	GSM1184045_Nanog.bed	Embryonic Stem Cell	[PCL] ES cells; Kdm4b knockdown	Nanog	mm10	GSE43231	GSM1184045	ES cells expressing shRNA targeting Kdm4b
GSM1198167_Egr2	GSM1198167_Egr2.bed	T-Cells	[PC] Naive CD4	Egr2	mm10	GSE49366	GSM1198167	Naive CD4+ T cells (spleen and lymph nodes) were purified from 6 week old mice using a CD4+CD62+ T cell Isolation Kit. Cells were activated with anti-CD3 and anti-CD28 for 16 hours.
